tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,week
2023-9900,United Cup,Hard,18,A,2023-01-02,300,126203,3.0,,Taylor Fritz,R,193.0,USA,25.1,126610,5.0,,Matteo Berrettini,R,196.0,ITA,26.7,7-6(4) 7-6(6),3,F,135.0,15.0,2.0,85.0,52.0,45.0,16.0,12.0,0.0,0.0,7.0,2.0,97.0,62.0,47.0,15.0,12.0,9.0,9.0,9,3355,16,2375,1
2023-9900,United Cup,Hard,18,A,2023-01-02,299,126207,,,Frances Tiafoe,R,188.0,USA,24.9,207518,,,Lorenzo Musetti,R,185.0,ITA,20.8,6-2 0-0 RET,3,F,34.0,3.0,1.0,27.0,19.0,15.0,3.0,4.0,3.0,3.0,0.0,0.0,21.0,12.0,8.0,3.0,4.0,1.0,3.0,19,2000,23,1865,1
2023-9900,United Cup,Hard,18,A,2023-01-02,296,126203,3.0,,Taylor Fritz,R,193.0,USA,25.1,128034,2.0,,Hubert Hurkacz,R,196.0,POL,25.8,7-6(5) 7-6(5),3,SF,104.0,11.0,0.0,80.0,50.0,44.0,19.0,12.0,4.0,4.0,17.0,1.0,82.0,62.0,51.0,7.0,12.0,2.0,2.0,9,3355,10,2905,1
2023-9900,United Cup,Hard,18,A,2023-01-02,295,126207,,,Frances Tiafoe,R,188.0,USA,24.9,200390,,,Kacper Zuk,R,183.0,POL,23.9,6-3 6-3,3,SF,79.0,5.0,4.0,61.0,37.0,31.0,11.0,9.0,5.0,5.0,3.0,3.0,68.0,41.0,26.0,12.0,9.0,6.0,9.0,19,2000,245,220,1
2023-9900,United Cup,Hard,18,A,2023-01-02,292,126774,1.0,,Stefanos Tsitsipas,R,193.0,GRE,24.3,126610,5.0,,Matteo Berrettini,R,196.0,ITA,26.7,4-6 7-6(2) 6-4,3,SF,155.0,9.0,1.0,98.0,52.0,43.0,28.0,16.0,1.0,2.0,7.0,2.0,89.0,58.0,48.0,18.0,16.0,1.0,2.0,4,5550,16,2375,1
2023-9900,United Cup,Hard,18,A,2023-01-02,291,207518,,,Lorenzo Musetti,R,185.0,ITA,20.8,208852,,,Stefanos Sakellaridis,U,186.5622641509,GRE,18.3,6-1 6-1,3,SF,62.0,2.0,1.0,41.0,25.0,18.0,12.0,7.0,1.0,1.0,2.0,1.0,43.0,26.0,15.0,5.0,7.0,4.0,9.0,23,1865,803,23,1
2023-9900,United Cup,Hard,18,A,2023-01-02,288,126774,1.0,,Stefanos Tsitsipas,R,193.0,GRE,24.3,106432,8.0,,Borna Coric,R,188.0,CRO,26.1,6-0 6-7(4) 7-5,3,RR,151.0,20.0,1.0,94.0,60.0,45.0,20.0,15.0,5.0,6.0,7.0,2.0,88.0,59.0,44.0,10.0,15.0,2.0,7.0,4,5550,26,1685,1
2023-9900,United Cup,Hard,18,A,2023-01-02,287,127339,,,Borna Gojo,R,196.0,CRO,24.8,208852,,,Stefanos Sakellaridis,U,186.5622641509,GRE,18.3,6-4 6-2,3,RR,89.0,4.0,1.0,50.0,30.0,27.0,11.0,9.0,1.0,1.0,4.0,1.0,78.0,50.0,30.0,12.0,9.0,6.0,9.0,144,381,803,23,1
2023-9900,United Cup,Hard,18,A,2023-01-02,284,126610,5.0,,Matteo Berrettini,R,196.0,ITA,26.7,128034,2.0,,Hubert Hurkacz,R,196.0,POL,25.8,6-4 3-6 6-3,3,RR,116.0,11.0,1.0,77.0,49.0,37.0,18.0,14.0,2.0,4.0,12.0,1.0,79.0,49.0,36.0,16.0,14.0,1.0,4.0,16,2375,10,2905,1
2023-9900,United Cup,Hard,18,A,2023-01-02,283,207518,,,Lorenzo Musetti,R,185.0,ITA,20.8,207415,,,Daniel Michalski,R,180.0,POL,22.9,6-1 6-1,3,RR,57.0,8.0,0.0,31.0,18.0,17.0,11.0,7.0,0.0,0.0,1.0,1.0,40.0,28.0,12.0,5.0,7.0,4.0,9.0,23,1865,260,204,1
2023-9900,United Cup,Hard,18,A,2023-01-02,280,111815,15.0,,Cameron Norrie,L,188.0,GBR,27.3,126203,3.0,,Taylor Fritz,R,193.0,USA,25.1,6-4 5-7 6-4,3,RR,136.0,7.0,0.0,91.0,69.0,53.0,9.0,16.0,5.0,8.0,16.0,2.0,95.0,58.0,39.0,21.0,16.0,4.0,8.0,14,2445,9,3355,1
2023-9900,United Cup,Hard,18,A,2023-01-02,279,126207,,,Frances Tiafoe,R,188.0,USA,24.9,105554,,,Daniel Evans,R,175.0,GBR,32.6,3-6 7-5 6-3,3,RR,132.0,10.0,1.0,87.0,46.0,32.0,24.0,15.0,7.0,10.0,9.0,3.0,82.0,46.0,35.0,17.0,15.0,5.0,9.0,19,2000,27,1585,1
2023-9900,United Cup,Hard,18,A,2023-01-02,276,126774,1.0,,Stefanos Tsitsipas,R,193.0,GRE,24.3,105676,12.0,,David Goffin,R,180.0,BEL,32.0,6-3 6-2,3,RR,78.0,12.0,1.0,61.0,39.0,27.0,12.0,9.0,4.0,5.0,2.0,1.0,49.0,33.0,22.0,4.0,8.0,2.0,6.0,4,5550,53,870,1
2023-9900,United Cup,Hard,18,A,2023-01-02,275,208852,,,Stefanos Sakellaridis,U,187.4464414091,GRE,18.3,200267,,,Zizou Bergs,R,185.0,BEL,23.5,5-7 6-1 6-3,3,RR,133.0,8.0,1.0,86.0,50.0,37.0,21.0,14.0,4.0,5.0,1.0,5.0,86.0,52.0,33.0,16.0,14.0,3.0,7.0,803,23,129,435,1
